Variant,Dataset,Resolution,PSNR,SSIM,GateFidelity,InformationLoss
AQIR-NoGrad,mrifnl,4x4,30.354,0.941,0.887,0.059
AQIR-FixedRot,mrifnl,4x4,9.382,0.112,0.887,0.888
AQIR-Deep,mrifnl,4x4,22.525,0.759,0.887,0.241
AQIR-ADS,mrifnl,2x2,47.162,0.996,0.98,0.004
AQIR-NoGrad,mrifnl,2x2,44.151,0.998,0.98,0.002
AQIR-FixedRot,mrifnl,2x2,9.581,0.309,0.98,0.691
AQIR-Deep,mrifnl,2x2,38.469,0.962,0.98,0.038
AQIR-ADS,mrifnl,4x4,32.792,0.981,0.887,0.019
AQIR-NoGrad,mrifnl,4x4,32.621,0.977,0.887,0.023
AQIR-FixedRot,mrifnl,4x4,9.196,0.097,0.887,0.903
AQIR-Deep,mrifnl,4x4,27.099,0.933,0.887,0.067
AQIR-ADS,mrifnl,2x2,46.37,0.975,0.98,0.025
AQIR-NoGrad,mrifnl,2x2,41.599,0.943,0.98,0.057
AQIR-FixedRot,mrifnl,2x2,7.873,0.356,0.98,0.644
AQIR-Deep,mrifnl,2x2,39.238,0.903,0.98,0.097
AQIR-ADS,mrifnl,4x4,30.893,0.936,0.887,0.064
AQIR-NoGrad,mrifnl,4x4,33.507,0.966,0.887,0.034
AQIR-FixedRot,mrifnl,4x4,7.867,0.084,0.887,0.916
AQIR-Deep,mrifnl,4x4,24.15,0.761,0.887,0.239
AQIR-ADS,mrifnl,2x2,43.737,0.98,0.98,0.02
AQIR-NoGrad,mrifnl,2x2,49.38,0.997,0.98,0.003
AQIR-FixedRot,mrifnl,2x2,8.576,0.46,0.98,0.54
AQIR-Deep,mrifnl,2x2,41.599,0.942,0.98,0.058
AQIR-ADS,mrifnl,4x4,27.312,0.917,0.887,0.083
AQIR-NoGrad,mrifnl,4x4,30.014,0.94,0.887,0.06
AQIR-FixedRot,mrifnl,4x4,8.086,0.076,0.887,0.924
AQIR-Deep,mrifnl,4x4,21.785,0.807,0.887,0.193
AQIR-ADS,mrifnl,2x2,54.151,0.997,0.98,0.003
AQIR-NoGrad,mrifnl,2x2,42.39,0.986,0.98,0.014
AQIR-FixedRot,mrifnl,2x2,8.062,0.339,0.98,0.661
AQIR-Deep,mrifnl,2x2,43.012,0.972,0.98,0.028
AQIR-ADS,mrifnl,4x4,27.4,0.917,0.887,0.083
AQIR-NoGrad,mrifnl,4x4,31.659,0.951,0.887,0.049
AQIR-FixedRot,mrifnl,4x4,7.557,0.002,0.887,0.998
AQIR-Deep,mrifnl,4x4,25.553,0.823,0.887,0.177
AQIR-ADS,mrifnl,2x2,51.141,0.992,0.98,0.008
AQIR-NoGrad,mrifnl,2x2,48.131,0.988,0.98,0.012
AQIR-FixedRot,mrifnl,2x2,7.852,0.337,0.98,0.663
AQIR-Deep,mrifnl,2x2,41.599,0.988,0.98,0.012
AQIR-ADS,mrifnl,4x4,29.036,0.941,0.887,0.059
AQIR-NoGrad,mrifnl,4x4,27.529,0.912,0.887,0.088
AQIR-FixedRot,mrifnl,4x4,7.511,-0.028,0.887,1.028
AQIR-Deep,mrifnl,4x4,25.434,0.876,0.887,0.124
AQIR-ADS,mrifnl,2x2,51.141,0.992,0.98,0.008
AQIR-NoGrad,mrifnl,2x2,44.609,0.988,0.98,0.012
AQIR-FixedRot,mrifnl,2x2,8.066,0.395,0.98,0.605
AQIR-Deep,mrifnl,2x2,35.067,0.759,0.98,0.241
AQIR-ADS,mrifnl,4x4,32.158,0.953,0.887,0.047
AQIR-NoGrad,mrifnl,4x4,34.097,0.969,0.887,0.031
AQIR-FixedRot,mrifnl,4x4,8.059,0.042,0.887,0.958
AQIR-Deep,mrifnl,4x4,24.825,0.84,0.887,0.16
AQIR-ADS,mrifnl,2x2,49.38,0.997,0.98,0.003
AQIR-NoGrad,mrifnl,2x2,42.39,0.987,0.98,0.013
AQIR-FixedRot,mrifnl,2x2,8.087,0.387,0.98,0.613
AQIR-Deep,mrifnl,2x2,40.349,0.919,0.98,0.081
AQIR-ADS,mrifnl,4x4,30.596,0.949,0.887,0.051
AQIR-NoGrad,mrifnl,4x4,33.004,0.961,0.887,0.039
AQIR-FixedRot,mrifnl,4x4,7.595,0.008,0.887,0.992
AQIR-Deep,mrifnl,4x4,25.063,0.833,0.887,0.167
AQIR-ADS,mrifnl,2x2,51.141,0.996,0.98,0.004
AQIR-NoGrad,mrifnl,2x2,46.37,0.992,0.98,0.008
AQIR-FixedRot,mrifnl,2x2,7.829,0.318,0.98,0.682
AQIR-Deep,mrifnl,2x2,40.002,0.958,0.98,0.042
AQIR-ADS,mrifnl,4x4,31.575,0.953,0.887,0.047
AQIR-NoGrad,mrifnl,4x4,32.312,0.952,0.887,0.048
AQIR-FixedRot,mrifnl,4x4,7.835,0.145,0.887,0.855
AQIR-Deep,mrifnl,4x4,24.867,0.758,0.887,0.242
AQIR-ADS,mrifnl,2x2,44.609,0.989,0.98,0.011
AQIR-NoGrad,mrifnl,2x2,51.141,0.992,0.98,0.008
AQIR-FixedRot,mrifnl,2x2,8.783,0.479,0.98,0.521
AQIR-Deep,mrifnl,2x2,36.443,0.821,0.98,0.179
AQIR-ADS,mrifnl,4x4,30.363,0.944,0.887,0.056
AQIR-NoGrad,mrifnl,4x4,30.056,0.94,0.887,0.06
AQIR-FixedRot,mrifnl,4x4,8.481,0.099,0.887,0.901
AQIR-Deep,mrifnl,4x4,22.92,0.754,0.887,0.246
AQIR-ADS,mrifnl,2x2,46.37,0.992,0.98,0.008
AQIR-NoGrad,mrifnl,2x2,45.7,0.983,0.98,0.017
AQIR-FixedRot,mrifnl,2x2,8.551,0.433,0.98,0.567
AQIR-Deep,mrifnl,2x2,38.024,0.887,0.98,0.113
AQIR-ADS,mrifnl,4x4,29.595,0.941,0.887,0.059
AQIR-NoGrad,mrifnl,4x4,31.841,0.954,0.887,0.046
AQIR-FixedRot,mrifnl,4x4,8.184,0.136,0.887,0.864
AQIR-Deep,mrifnl,4x4,22.938,0.734,0.887,0.266
AQIR-ADS,mrifnl,2x2,46.37,0.98,0.98,0.02
AQIR-NoGrad,mrifnl,2x2,42.69,0.96,0.98,0.04
AQIR-FixedRot,mrifnl,2x2,9.313,0.523,0.98,0.477
AQIR-Deep,mrifnl,2x2,47.162,0.989,0.98,0.011
AQIR-ADS,mrifnl,4x4,30.459,0.955,0.887,0.045
AQIR-NoGrad,mrifnl,4x4,31.727,0.955,0.887,0.045
AQIR-FixedRot,mrifnl,4x4,8.849,-0.106,0.887,1.106
AQIR-Deep,mrifnl,4x4,23.66,0.799,0.887,0.201
AQIR-ADS,mrifnl,2x2,41.847,0.962,0.98,0.038
AQIR-NoGrad,mrifnl,2x2,47.162,0.991,0.98,0.009
AQIR-FixedRot,mrifnl,2x2,9.214,0.505,0.98,0.495
AQIR-Deep,mrifnl,2x2,40.002,0.994,0.98,0.006
AQIR-ADS,mrifnl,4x4,29.097,0.946,0.887,0.054
AQIR-NoGrad,mrifnl,4x4,32.076,0.962,0.887,0.038
AQIR-FixedRot,mrifnl,4x4,8.667,0.091,0.887,0.909
AQIR-Deep,mrifnl,4x4,23.723,0.858,0.887,0.142
AQIR-ADS,mrifnl,2x2,46.37,0.982,0.98,0.018
AQIR-NoGrad,mrifnl,2x2,41.599,0.991,0.98,0.009
AQIR-FixedRot,mrifnl,2x2,8.807,0.479,0.98,0.521
AQIR-Deep,mrifnl,2x2,44.151,0.976,0.98,0.024
AQIR-ADS,mrifnl,4x4,31.174,0.952,0.887,0.048
AQIR-NoGrad,mrifnl,4x4,28.859,0.905,0.887,0.095
AQIR-FixedRot,mrifnl,4x4,8.475,0.138,0.887,0.862
AQIR-Deep,mrifnl,4x4,24.79,0.849,0.887,0.151
AQIR-ADS,mrifnl,2x2,44.609,0.964,0.98,0.036
AQIR-NoGrad,mrifnl,2x2,48.131,0.985,0.98,0.015
AQIR-FixedRot,mrifnl,2x2,8.62,0.454,0.98,0.546
AQIR-Deep,mrifnl,2x2,37.919,0.936,0.98,0.064
AQIR-ADS,mrifnl,4x4,30.39,0.965,0.887,0.035
AQIR-NoGrad,mrifnl,4x4,28.976,0.951,0.887,0.049
AQIR-FixedRot,mrifnl,4x4,8.732,0.158,0.887,0.842
AQIR-Deep,mrifnl,4x4,25.108,0.88,0.887,0.12
AQIR-ADS,mrifnl,2x2,49.38,0.998,0.98,0.002
AQIR-NoGrad,mrifnl,2x2,39.238,0.952,0.98,0.048
AQIR-FixedRot,mrifnl,2x2,8.632,0.329,0.98,0.671
AQIR-Deep,mrifnl,2x2,38.241,0.958,0.98,0.042
AQIR-ADS,mrifnl,4x4,28.434,0.916,0.887,0.084
AQIR-NoGrad,mrifnl,4x4,28.643,0.907,0.887,0.093
AQIR-FixedRot,mrifnl,4x4,8.487,0.133,0.887,0.867
AQIR-Deep,mrifnl,4x4,22.542,0.753,0.887,0.247
AQIR-ADS,mrifnl,2x2,54.151,0.999,0.98,0.001
AQIR-NoGrad,mrifnl,2x2,47.162,0.992,0.98,0.008
AQIR-FixedRot,mrifnl,2x2,8.637,0.18,0.98,0.82
AQIR-Deep,mrifnl,2x2,35.175,0.946,0.98,0.054
AQIR-ADS,mrifnl,4x4,28.853,0.941,0.887,0.059
AQIR-NoGrad,mrifnl,4x4,32.383,0.965,0.887,0.035
AQIR-FixedRot,mrifnl,4x4,8.104,0.067,0.887,0.933
AQIR-Deep,mrifnl,4x4,24.314,0.812,0.887,0.188
AQIR-ADS,mrifnl,2x2,49.38,0.998,0.98,0.002
AQIR-NoGrad,mrifnl,2x2,43.012,0.997,0.98,0.003
AQIR-FixedRot,mrifnl,2x2,8.69,0.263,0.98,0.737
AQIR-Deep,mrifnl,2x2,42.39,0.986,0.98,0.014
AQIR-ADS,mrifnl,4x4,28.142,0.894,0.887,0.106
AQIR-NoGrad,mrifnl,4x4,31.24,0.903,0.887,0.097
AQIR-FixedRot,mrifnl,4x4,8.722,0.012,0.887,0.988
AQIR-Deep,mrifnl,4x4,24.051,0.629,0.887,0.371
AQIR-ADS,mrifnl,2x2,43.36,0.982,0.98,0.018
AQIR-NoGrad,mrifnl,2x2,44.609,0.99,0.98,0.01
AQIR-FixedRot,mrifnl,2x2,8.632,0.198,0.98,0.802
AQIR-Deep,mrifnl,2x2,37.162,0.978,0.98,0.022
AQIR-ADS,mrifnl,4x4,27.6,0.855,0.887,0.145
AQIR-NoGrad,mrifnl,4x4,28.754,0.87,0.887,0.13
AQIR-FixedRot,mrifnl,4x4,8.519,0.106,0.887,0.894
AQIR-Deep,mrifnl,4x4,24.864,0.754,0.887,0.246
AQIR-ADS,mrifnl,2x2,47.162,0.987,0.98,0.013
AQIR-NoGrad,mrifnl,2x2,44.151,0.976,0.98,0.024
AQIR-FixedRot,mrifnl,2x2,8.729,0.358,0.98,0.642
AQIR-Deep,mrifnl,2x2,46.37,0.984,0.98,0.016
AQIR-ADS,mrifnl,4x4,30.888,0.949,0.887,0.051
AQIR-NoGrad,mrifnl,4x4,28.196,0.875,0.887,0.125
AQIR-FixedRot,mrifnl,4x4,8.443,0.037,0.887,0.963
AQIR-Deep,mrifnl,4x4,26.923,0.894,0.887,0.106
AQIR-ADS,mrifnl,2x2,43.737,0.985,0.98,0.015
AQIR-NoGrad,mrifnl,2x2,46.37,0.982,0.98,0.018
AQIR-FixedRot,mrifnl,2x2,9.238,0.508,0.98,0.492
AQIR-Deep,mrifnl,2x2,40.534,0.926,0.98,0.074
AQIR-ADS,mrifnl,4x4,30.577,0.95,0.887,0.05
AQIR-NoGrad,mrifnl,4x4,31.623,0.948,0.887,0.052
AQIR-FixedRot,mrifnl,4x4,8.78,0.075,0.887,0.925
AQIR-Deep,mrifnl,4x4,22.799,0.729,0.887,0.271
AQIR-ADS,mrifnl,2x2,49.38,0.997,0.98,0.003
AQIR-NoGrad,mrifnl,2x2,41.847,0.994,0.98,0.006
AQIR-FixedRot,mrifnl,2x2,8.944,0.183,0.98,0.817
AQIR-Deep,mrifnl,2x2,41.364,0.98,0.98,0.02
AQIR-ADS,mrifnl,4x4,32.792,0.979,0.887,0.021
AQIR-NoGrad,mrifnl,4x4,29.956,0.958,0.887,0.042
AQIR-FixedRot,mrifnl,4x4,8.754,-0.034,0.887,1.034
AQIR-Deep,mrifnl,4x4,24.556,0.894,0.887,0.106
AQIR-ADS,mrifnl,2x2,45.7,0.972,0.98,0.028
AQIR-NoGrad,mrifnl,2x2,49.38,0.989,0.98,0.011
AQIR-FixedRot,mrifnl,2x2,8.926,0.516,0.98,0.484
AQIR-Deep,mrifnl,2x2,38.711,0.941,0.98,0.059
AQIR-ADS,mrifnl,4x4,30.62,0.943,0.887,0.057
AQIR-NoGrad,mrifnl,4x4,34.239,0.977,0.887,0.023
AQIR-FixedRot,mrifnl,4x4,8.584,-0.037,0.887,1.037
AQIR-Deep,mrifnl,4x4,25.551,0.829,0.887,0.171
AQIR-ADS,mrifnl,2x2,44.609,0.99,0.98,0.01
AQIR-NoGrad,mrifnl,2x2,42.39,0.956,0.98,0.044
AQIR-FixedRot,mrifnl,2x2,8.48,0.377,0.98,0.623
AQIR-Deep,mrifnl,2x2,40.002,0.926,0.98,0.074
AQIR-ADS,mrifnl,4x4,31.174,0.956,0.887,0.044
AQIR-NoGrad,mrifnl,4x4,31.74,0.954,0.887,0.046
AQIR-FixedRot,mrifnl,4x4,8.053,0.046,0.887,0.954
AQIR-Deep,mrifnl,4x4,27.458,0.898,0.887,0.102
AQIR-ADS,mrifnl,2x2,54.151,0.998,0.98,0.002
AQIR-NoGrad,mrifnl,2x2,41.599,0.992,0.98,0.008
AQIR-FixedRot,mrifnl,2x2,8.969,0.449,0.98,0.551
AQIR-Deep,mrifnl,2x2,40.727,0.934,0.98,0.066
AQIR-ADS,mrifnl,4x4,30.399,0.96,0.887,0.04
AQIR-NoGrad,mrifnl,4x4,31.885,0.968,0.887,0.032
AQIR-FixedRot,mrifnl,4x4,8.452,-0.064,0.887,1.064
AQIR-Deep,mrifnl,4x4,24.101,0.787,0.887,0.213
AQIR-ADS,mrifnl,2x2,51.141,0.996,0.98,0.004
AQIR-NoGrad,mrifnl,2x2,46.37,0.992,0.98,0.008
AQIR-FixedRot,mrifnl,2x2,7.956,0.342,0.98,0.658
AQIR-Deep,mrifnl,2x2,41.847,0.947,0.98,0.053
AQIR-ADS,mrifnl,4x4,29.294,0.951,0.887,0.049
AQIR-NoGrad,mrifnl,4x4,31.251,0.965,0.887,0.035
AQIR-FixedRot,mrifnl,4x4,7.792,-0.026,0.887,1.026
AQIR-Deep,mrifnl,4x4,27.673,0.911,0.887,0.089
AQIR-ADS,mrifnl,2x2,46.37,0.979,0.98,0.021
AQIR-NoGrad,mrifnl,2x2,46.37,0.991,0.98,0.009
AQIR-FixedRot,mrifnl,2x2,7.582,0.298,0.98,0.702
AQIR-Deep,mrifnl,2x2,44.151,0.962,0.98,0.038
AQIR-ADS,mrifnl,4x4,29.457,0.905,0.887,0.095
AQIR-NoGrad,mrifnl,4x4,32.213,0.943,0.887,0.057
AQIR-FixedRot,mrifnl,4x4,7.774,0.04,0.887,0.96
AQIR-Deep,mrifnl,4x4,24.302,0.686,0.887,0.314
AQIR-ADS,mrifnl,2x2,46.37,0.981,0.98,0.019
AQIR-NoGrad,mrifnl,2x2,44.609,0.969,0.98,0.031
AQIR-FixedRot,mrifnl,2x2,8.042,0.357,0.98,0.643
AQIR-Deep,mrifnl,2x2,37.717,0.932,0.98,0.068
AQIR-ADS,mrifnl,4x4,30.919,0.948,0.887,0.052
AQIR-NoGrad,mrifnl,4x4,29.874,0.92,0.887,0.08
AQIR-FixedRot,mrifnl,4x4,7.483,0.077,0.887,0.923
AQIR-Deep,mrifnl,4x4,24.402,0.765,0.887,0.235
AQIR-ADS,mrifnl,2x2,49.38,0.989,0.98,0.011
AQIR-NoGrad,mrifnl,2x2,49.38,0.989,0.98,0.011
AQIR-FixedRot,mrifnl,2x2,7.936,0.356,0.98,0.644
AQIR-Deep,mrifnl,2x2,45.7,0.981,0.98,0.019
AQIR-ADS,mrifnl,4x4,29.409,0.934,0.887,0.066
AQIR-NoGrad,mrifnl,4x4,31.593,0.951,0.887,0.049
AQIR-FixedRot,mrifnl,4x4,7.761,0.106,0.887,0.894
AQIR-Deep,mrifnl,4x4,23.444,0.71,0.887,0.29
AQIR-ADS,mrifnl,2x2,47.162,0.984,0.98,0.016
AQIR-NoGrad,mrifnl,2x2,49.38,0.992,0.98,0.008
AQIR-FixedRot,mrifnl,2x2,7.976,0.309,0.98,0.691
AQIR-Deep,mrifnl,2x2,44.609,0.975,0.98,0.025
AQIR-ADS,mrifnl,4x4,28.92,0.91,0.887,0.09
AQIR-NoGrad,mrifnl,4x4,30.601,0.914,0.887,0.086
AQIR-FixedRot,mrifnl,4x4,7.721,0.069,0.887,0.931
AQIR-Deep,mrifnl,4x4,26.217,0.837,0.887,0.163
AQIR-ADS,mrifnl,2x2,46.37,0.986,0.98,0.014
AQIR-NoGrad,mrifnl,2x2,46.37,0.986,0.98,0.014
AQIR-FixedRot,mrifnl,2x2,8.364,0.316,0.98,0.684
AQIR-Deep,mrifnl,2x2,39.527,0.942,0.98,0.058
AQIR-ADS,mrifnl,4x4,30.45,0.969,0.887,0.031
AQIR-NoGrad,mrifnl,4x4,30.349,0.962,0.887,0.038
AQIR-FixedRot,mrifnl,4x4,7.77,0.008,0.887,0.992
AQIR-Deep,mrifnl,4x4,24.593,0.862,0.887,0.138
AQIR-ADS,mrifnl,2x2,43.737,0.985,0.98,0.015
AQIR-NoGrad,mrifnl,2x2,46.37,0.993,0.98,0.007
AQIR-FixedRot,mrifnl,2x2,7.723,0.275,0.98,0.725
AQIR-Deep,mrifnl,2x2,40.727,0.934,0.98,0.066
AQIR-ADS,mrifnl,4x4,27.737,0.865,0.887,0.135
AQIR-NoGrad,mrifnl,4x4,28.726,0.829,0.887,0.171
AQIR-FixedRot,mrifnl,4x4,7.775,-0.004,0.887,1.004
AQIR-Deep,mrifnl,4x4,24.547,0.68,0.887,0.32
AQIR-ADS,mrifnl,2x2,47.162,0.987,0.98,0.013
AQIR-NoGrad,mrifnl,2x2,43.737,0.973,0.98,0.027
AQIR-FixedRot,mrifnl,2x2,8.253,0.321,0.98,0.679
AQIR-Deep,mrifnl,2x2,40.349,0.978,0.98,0.022
AQIR-ADS,mrifnl,4x4,30.399,0.956,0.887,0.044
AQIR-NoGrad,mrifnl,4x4,31.279,0.945,0.887,0.055
AQIR-FixedRot,mrifnl,4x4,7.657,-0.053,0.887,1.053
AQIR-Deep,mrifnl,4x4,24.437,0.82,0.887,0.18
AQIR-ADS,mrifnl,2x2,51.141,0.996,0.98,0.004
AQIR-NoGrad,mrifnl,2x2,45.7,0.972,0.98,0.028
AQIR-FixedRot,mrifnl,2x2,7.852,0.331,0.98,0.669
AQIR-Deep,mrifnl,2x2,41.141,0.929,0.98,0.071
AQIR-ADS,mrifnl,4x4,29.323,0.885,0.887,0.115
AQIR-NoGrad,mrifnl,4x4,30.168,0.902,0.887,0.098
AQIR-FixedRot,mrifnl,4x4,7.699,-0.003,0.887,1.003
AQIR-Deep,mrifnl,4x4,26.068,0.788,0.887,0.212
AQIR-ADS,mrifnl,2x2,43.737,0.975,0.98,0.025
AQIR-NoGrad,mrifnl,2x2,44.609,0.972,0.98,0.028
AQIR-FixedRot,mrifnl,2x2,8.505,0.413,0.98,0.587
AQIR-Deep,mrifnl,2x2,44.151,0.97,0.98,0.03
AQIR-ADS,mrifnl,4x4,29.319,0.951,0.887,0.049
AQIR-NoGrad,mrifnl,4x4,29.798,0.946,0.887,0.054
AQIR-FixedRot,mrifnl,4x4,8.134,0.1,0.887,0.9
AQIR-Deep,mrifnl,4x4,26.332,0.895,0.887,0.105
AQIR-ADS,mrifnl,2x2,46.37,0.98,0.98,0.02
AQIR-NoGrad,mrifnl,2x2,43.36,0.966,0.98,0.034
AQIR-FixedRot,mrifnl,2x2,8.085,0.362,0.98,0.638
AQIR-Deep,mrifnl,2x2,44.151,0.995,0.98,0.005
AQIR-ADS,mrifnl,4x4,32.613,0.971,0.887,0.029
AQIR-NoGrad,mrifnl,4x4,30.727,0.951,0.887,0.049
AQIR-FixedRot,mrifnl,4x4,7.751,0.034,0.887,0.966
AQIR-Deep,mrifnl,4x4,26.886,0.903,0.887,0.097
AQIR-ADS,mrifnl,2x2,42.69,0.955,0.98,0.045
AQIR-NoGrad,mrifnl,2x2,44.151,0.968,0.98,0.032
AQIR-FixedRot,mrifnl,2x2,8.17,0.36,0.98,0.64
AQIR-Deep,mrifnl,2x2,42.69,0.951,0.98,0.049
AQIR-ADS,mrifnl,4x4,27.622,0.934,0.887,0.066
AQIR-NoGrad,mrifnl,4x4,33.442,0.977,0.887,0.023
AQIR-FixedRot,mrifnl,4x4,8.072,0.053,0.887,0.947
AQIR-Deep,mrifnl,4x4,25.909,0.897,0.887,0.103
AQIR-ADS,mrifnl,2x2,54.151,0.998,0.98,0.002
AQIR-NoGrad,mrifnl,2x2,45.7,0.984,0.98,0.016
AQIR-FixedRot,mrifnl,2x2,8.342,0.312,0.98,0.688
AQIR-Deep,mrifnl,2x2,35.763,0.855,0.98,0.145
AQIR-ADS,mrifnl,4x4,32.199,0.969,0.887,0.031
AQIR-NoGrad,mrifnl,4x4,32.01,0.966,0.887,0.034
AQIR-FixedRot,mrifnl,4x4,7.859,-0.055,0.887,1.055
AQIR-Deep,mrifnl,4x4,27.373,0.909,0.887,0.091
AQIR-ADS,mrifnl,2x2,46.37,0.992,0.98,0.008
AQIR-NoGrad,mrifnl,2x2,41.364,0.972,0.98,0.028
AQIR-FixedRot,mrifnl,2x2,8.0,0.369,0.98,0.631
AQIR-Deep,mrifnl,2x2,35.639,0.811,0.98,0.189
AQIR-ADS,mrifnl,4x4,29.498,0.916,0.887,0.084
AQIR-NoGrad,mrifnl,4x4,31.911,0.951,0.887,0.049
AQIR-FixedRot,mrifnl,4x4,7.665,-0.016,0.887,1.016
AQIR-Deep,mrifnl,4x4,26.09,0.817,0.887,0.183
AQIR-ADS,mrifnl,2x2,40.929,0.932,0.98,0.068
AQIR-NoGrad,mrifnl,2x2,45.7,0.982,0.98,0.018
AQIR-FixedRot,mrifnl,2x2,7.956,0.321,0.98,0.679
AQIR-Deep,mrifnl,2x2,37.919,0.931,0.98,0.069
AQIR-ADS,mrifnl,4x4,29.323,0.914,0.887,0.086
AQIR-NoGrad,mrifnl,4x4,33.139,0.959,0.887,0.041
AQIR-FixedRot,mrifnl,4x4,7.73,0.05,0.887,0.95
AQIR-Deep,mrifnl,4x4,24.36,0.787,0.887,0.213
AQIR-ADS,mrifnl,2x2,51.141,0.992,0.98,0.008
AQIR-NoGrad,mrifnl,2x2,49.38,0.996,0.98,0.004
AQIR-FixedRot,mrifnl,2x2,7.522,0.296,0.98,0.704
AQIR-Deep,mrifnl,2x2,36.158,0.872,0.98,0.128
AQIR-ADS,mrifnl,4x4,31.456,0.946,0.887,0.054
AQIR-NoGrad,mrifnl,4x4,33.414,0.963,0.887,0.037
AQIR-FixedRot,mrifnl,4x4,7.495,0.079,0.887,0.921
AQIR-Deep,mrifnl,4x4,30.577,0.932,0.887,0.068
AQIR-ADS,mrifnl,2x2,51.141,0.992,0.98,0.008
AQIR-NoGrad,mrifnl,2x2,44.609,0.987,0.98,0.013
AQIR-FixedRot,mrifnl,2x2,7.603,0.293,0.98,0.707
AQIR-Deep,mrifnl,2x2,44.609,0.971,0.98,0.029
AQIR-ADS,mrifnl,4x4,30.107,0.931,0.887,0.069
AQIR-NoGrad,mrifnl,4x4,34.013,0.969,0.887,0.031
AQIR-FixedRot,mrifnl,4x4,7.152,-0.005,0.887,1.005
AQIR-Deep,mrifnl,4x4,24.029,0.79,0.887,0.21
AQIR-ADS,mrifnl,2x2,43.737,0.971,0.98,0.029
AQIR-NoGrad,mrifnl,2x2,44.151,0.97,0.98,0.03
AQIR-FixedRot,mrifnl,2x2,8.546,0.366,0.98,0.634
AQIR-Deep,mrifnl,2x2,44.609,0.99,0.98,0.01
AQIR-ADS,mrifnl,4x4,29.131,0.952,0.887,0.048
AQIR-NoGrad,mrifnl,4x4,34.273,0.981,0.887,0.019
AQIR-FixedRot,mrifnl,4x4,8.494,0.067,0.887,0.933
AQIR-Deep,mrifnl,4x4,26.66,0.916,0.887,0.084
AQIR-ADS,mrifnl,2x2,45.7,0.981,0.98,0.019
AQIR-NoGrad,mrifnl,2x2,46.37,0.987,0.98,0.013
AQIR-FixedRot,mrifnl,2x2,8.208,0.291,0.98,0.709
AQIR-Deep,mrifnl,2x2,43.36,0.977,0.98,0.023
AQIR-ADS,mrifnl,4x4,31.486,0.962,0.887,0.038
AQIR-NoGrad,mrifnl,4x4,30.857,0.956,0.887,0.044
AQIR-FixedRot,mrifnl,4x4,8.19,0.173,0.887,0.827
AQIR-Deep,mrifnl,4x4,24.051,0.831,0.887,0.169
AQIR-ADS,mrifnl,2x2,47.162,0.989,0.98,0.011
AQIR-NoGrad,mrifnl,2x2,51.141,0.996,0.98,0.004
AQIR-FixedRot,mrifnl,2x2,8.238,0.386,0.98,0.614
AQIR-Deep,mrifnl,2x2,38.837,0.959,0.98,0.041
AQIR-ADS,mrifnl,4x4,31.218,0.966,0.887,0.034
AQIR-NoGrad,mrifnl,4x4,29.746,0.94,0.887,0.06
AQIR-FixedRot,mrifnl,4x4,8.163,0.065,0.887,0.935
AQIR-Deep,mrifnl,4x4,22.829,0.817,0.887,0.183
AQIR-ADS,mrifnl,2x2,43.36,0.96,0.98,0.04
AQIR-NoGrad,mrifnl,2x2,44.151,0.995,0.98,0.005
AQIR-FixedRot,mrifnl,2x2,8.215,0.373,0.98,0.627
AQIR-Deep,mrifnl,2x2,38.354,0.877,0.98,0.123
AQIR-ADS,mrifnl,4x4,26.868,0.911,0.887,0.089
AQIR-NoGrad,mrifnl,4x4,32.083,0.966,0.887,0.034
AQIR-FixedRot,mrifnl,4x4,7.847,0.041,0.887,0.959
AQIR-Deep,mrifnl,4x4,25.613,0.852,0.887,0.148
AQIR-ADS,mrifnl,2x2,46.37,0.977,0.98,0.023
AQIR-NoGrad,mrifnl,2x2,45.121,0.984,0.98,0.016
AQIR-FixedRot,mrifnl,2x2,8.001,0.376,0.98,0.624
AQIR-Deep,mrifnl,2x2,43.012,0.952,0.98,0.048
AQIR-ADS,mrifnl,4x4,30.601,0.934,0.887,0.066
AQIR-NoGrad,mrifnl,4x4,30.659,0.929,0.887,0.071
AQIR-FixedRot,mrifnl,4x4,7.588,0.123,0.887,0.877
AQIR-Deep,mrifnl,4x4,25.444,0.804,0.887,0.196
AQIR-ADS,mrifnl,2x2,43.36,0.961,0.98,0.039
AQIR-NoGrad,mrifnl,2x2,43.737,0.971,0.98,0.029
AQIR-FixedRot,mrifnl,2x2,8.552,0.462,0.98,0.538
AQIR-Deep,mrifnl,2x2,41.599,0.97,0.98,0.03
AQIR-ADS,mrifnl,4x4,27.357,0.938,0.887,0.062
AQIR-NoGrad,mrifnl,4x4,32.34,0.973,0.887,0.027
AQIR-FixedRot,mrifnl,4x4,8.623,0.192,0.887,0.808
AQIR-Deep,mrifnl,4x4,24.559,0.875,0.887,0.125
AQIR-ADS,mrifnl,2x2,45.7,0.981,0.98,0.019
AQIR-NoGrad,mrifnl,2x2,48.131,0.983,0.98,0.017
AQIR-FixedRot,mrifnl,2x2,7.726,0.311,0.98,0.689
AQIR-Deep,mrifnl,2x2,42.39,0.963,0.98,0.037
AQIR-ADS,mrifnl,4x4,31.251,0.944,0.887,0.056
AQIR-NoGrad,mrifnl,4x4,28.528,0.879,0.887,0.121
AQIR-FixedRot,mrifnl,4x4,7.713,0.011,0.887,0.989
AQIR-Deep,mrifnl,4x4,24.554,0.788,0.887,0.212
